20-HCV-1030_Y_Value,20-LV-1031_HSI_InternalSetPointValue,20-LT-1031_HSI_X_Value,20-LV-1031_Z_X_Value,20-LV-1031_Z_Y_Value,20-LV-1034_HSI_InternalSetPointValue,20-LT-1034_HSI_X_Value,20-LV-1034_Z_X_Value,20-LV-1034_Z_Y_Value,20-PV-1037_HSI_InternalSetPointValue,20-PST-1037_HSI_X_Value,20-PV-1037_Z_X_Value,20-PV-1037_Z_Y_Value
50.0,2.0,1.9315145,1.9315145,50.450761400000005,0.8,0.8002086500000001,0.8002086500000001,49.623086150000006,20.0,20.011092150000003,20.0111818,39.2748312
50.0,2.0,1.9337737549999998,1.9337737549999998,50.4515638,0.8,0.80021365,0.80021365,49.624679549999996,20.0,20.01192295,20.011957950000003,39.279562
50.0,2.0,1.9361454249999999,1.9361454249999999,50.4651982,0.8,0.80021795,0.80021795,49.62617,20.0,20.01259745,20.012625,39.28437635
50.0,2.0,1.938507375,1.938507375,50.4812412,0.8,0.8002214194999999,0.8002214194999999,49.6275959,20.0,20.0131035,20.013126399999997,39.289276099999995
50.0,2.0,1.940855505,1.940855505,50.499706700000004,0.8,0.8002241244999999,0.8002241244999999,49.6289673,20.0,20.0134468,20.013461149999998,39.29420845
50.0,2.0,1.943304955,1.943304955,50.5301399,0.8,0.8002263270000001,0.8002263270000001,49.630300000000005,20.0,20.0136242,20.013635649999998,39.298993550000006
50.0,2.0,1.9460817000000001,1.9460817000000001,50.56054745,0.8,0.8002282974999999,0.8002282974999999,49.631838450000004,20.0,20.0136261,20.0136176,39.30462075
50.0,2.0,1.948030155,1.948030155,50.5815775,0.8,0.8002294245,0.8002294245,49.6329417,20.0,20.013483899999997,20.01346015,39.30860345
50.0,2.0,1.950636325,1.950636325,50.62329865,0.8,0.800230861,0.800230861,49.634325000000004,20.0,20.0130926,20.01304915,39.31325535
50.0,2.0,1.952874155,1.952874155,50.66260675,0.8,0.800232053,0.800232053,49.6355171,20.0,20.0125904,20.0125246,39.31697125
50.0,2.0,1.95508301,1.95508301,50.70108635,0.8,0.800233331,0.800233331,49.6367625,20.0,20.0119228,20.01184275,39.32048035
50.0,2.0,1.95726472,1.95726472,50.743415850000005,0.8,0.8002348685,0.8002348685,49.638025,20.0,20.01111795,20.01102925,39.323547399999995
50.0,2.0,1.9594166899999998,1.9594166899999998,50.78820415,0.8,0.8002367189999999,0.8002367189999999,49.639335,20.0,20.01018175,20.0100803,39.3261852
50.0,2.0,1.9615353949999998,1.9615353949999998,50.83523595,0.8,0.800239,0.800239,49.6406911,20.0,20.009113300000003,20.0089912,39.328335
50.0,2.0,1.9635181400000001,1.9635181400000001,50.8784,0.8,0.8002416,0.8002416,49.6421,20.0,20.00792105,20.007857299999998,39.3300524
50.0,2.0,1.9655760500000001,1.9655760500000001,50.92997775,0.8,0.8002448705,0.8002448705,49.64361385,20.0,20.006640949999998,20.00657,39.33119875
50.0,2.0,1.96759832,1.96759832,50.98346,0.8,0.80024875,0.80024875,49.645216950000005,20.0,20.00525425,20.00517895,39.33177755
50.0,2.0,1.9696815,1.9696815,51.043657800000005,0.8,0.8002534795,0.8002534795,49.646955500000004,20.0,20.003768899999997,20.0036049,39.331693900000005
50.0,2.0,1.9716237200000002,1.9716237200000002,51.100315,0.8,0.80025875,0.80025875,49.64878,20.0,20.0022612,20.00201035,39.331035
50.0,2.0,1.9733399249999999,1.9733399249999999,51.148683899999995,0.8,0.8002641500000001,0.8002641500000001,49.6506475,20.0,20.000519750000002,20.000519750000002,39.32992745
50.0,2.0,1.97530651,1.97530651,51.213485000000006,0.8,0.8002711499999999,0.8002711499999999,49.65281485,20.0,19.99890305,19.9987297,39.32795525
